2,2021-01-01,6,2021-01-01,2022-01-01,6
8,2021-01-01,5,2021-01-01,2022-01-01,6
21,2021-01-01,1,2021-01-01,2022-01-01,6
28,2021-01-01,4,2021-01-01,2022-01-01,6
36,2021-01-01,2,2021-01-01,2022-01-01,6
54,2021-01-01,3,2021-01-01,2022-01-01,6
2,2021-02-01,6,2021-01-01,2022-01-01,36
6,2021-02-01,12,2021-01-05,2022-01-05,36
8,2021-02-01,5,2021-01-01,2022-01-01,36
9,2021-02-01,8,2021-01-04,2022-01-04,36
10,2021-02-01,20,2021-01-07,2022-01-07,36
12,2021-02-01,9,2021-01-04,2022-01-04,36
15,2021-02-01,18,2021-01-07,2022-01-07,36
17,2021-02-01,17,2021-01-07,2022-01-07,36
18,2021-02-01,15,2021-01-05,2022-01-05,36
19,2021-02-01,10,2021-01-04,2022-01-04,36
21,2021-02-01,1,2021-01-01,2022-01-01,36
22,2021-02-01,22,2021-01-08,2022-01-08,36
24,2021-02-01,7,2021-01-04,2022-01-04,36
27,2021-02-01,19,2021-01-07,2022-01-07,36
28,2021-02-01,4,2021-01-01,2022-01-01,36
31,2021-02-01,11,2021-01-04,2022-01-04,36
36,2021-02-01,2,2021-01-01,2022-01-01,36
45,2021-02-01,14,2021-01-05,2022-01-05,36
46,2021-02-01,24,2021-01-11,2022-01-11,36
48,2021-02-01,13,2021-01-05,2022-01-05,36
53,2021-02-01,16,2021-01-06,2022-01-06,36
54,2021-02-01,3,2021-01-01,2022-01-01,36
63,2021-02-01,21,2021-01-07,2022-01-07,36
73,2021-02-01,23,2021-01-08,2022-01-08,36
74,2021-02-01,26,2021-01-15,2022-01-15,36
75,2021-02-01,25,2021-01-14,2022-01-14,36
79,2021-02-01,28,2021-01-21,2022-01-21,36
86,2021-02-01,29,2021-01-22,2022-01-22,36
96,2021-02-01,30,2021-01-27,2022-01-27,36
102,2021-02-01,31,2021-01-27,2022-01-27,36
111,2021-02-01,33,2021-01-28,2022-01-28,36
128,2021-02-01,27,2021-01-20,2022-01-20,36
134,2021-02-01,35,2021-02-01,2022-02-01,36
140,2021-02-01,36,2021-02-01,2022-02-01,36
166,2021-02-01,32,2021-01-28,2022-01-28,36
170,2021-02-01,34,2021-02-01,2022-02-01,36
2,2021-03-01,6,2021-01-01,2022-01-01,58
6,2021-03-01,12,2021-01-05,2022-01-05,58
8,2021-03-01,5,2021-01-01,2022-01-01,58
9,2021-03-01,8,2021-01-04,2022-01-04,58
10,2021-03-01,20,2021-01-07,2022-01-07,58
12,2021-03-01,9,2021-01-04,2022-01-04,58
15,2021-03-01,18,2021-01-07,2022-01-07,58
17,2021-03-01,17,2021-01-07,2022-01-07,58
18,2021-03-01,15,2021-01-05,2022-01-05,58
19,2021-03-01,10,2021-01-04,2022-01-04,58
21,2021-03-01,1,2021-01-01,2022-01-01,58
22,2021-03-01,22,2021-01-08,2022-01-08,58
