quarter_date,leads_id,funnel_id,start_quarter,stage_quarter,stage_id,last_stage_id,first_stage_flag,final_stage_flag,stage_drop
2020-10-01,11,84,2020-10-01,2020-10-01,102,103,0,0,0
2020-10-01,11,101,2020-10-01,2020-10-01,103,103,0,0,1
2020-10-01,16,59,2020-10-01,2020-10-01,102,105,0,0,0
2020-10-01,16,76,2020-10-01,2020-10-01,103,105,0,0,0
2020-10-01,16,108,2020-10-01,2020-10-01,104,105,0,0,0
2020-10-01,16,149,2020-10-01,2020-10-01,105,105,0,0,1
2020-10-01,26,133,2020-10-01,2020-10-01,102,103,0,0,0
2020-10-01,26,172,2020-10-01,2020-10-01,103,103,0,0,1
2020-10-01,67,216,2020-10-01,2020-10-01,102,107,0,0,0
2020-10-01,67,245,2020-10-01,2020-10-01,103,107,0,0,0
2020-10-01,67,265,2020-10-01,2020-10-01,104,107,0,0,0
2020-10-01,67,367,2020-10-01,2020-10-01,105,107,0,0,0
2020-10-01,67,461,2020-10-01,2021-01-01,106,107,0,0,0
2020-10-01,83,341,2020-10-01,2020-10-01,102,106,0,0,0
2020-10-01,83,368,2020-10-01,2020-10-01,103,106,0,0,0
2020-10-01,83,386,2020-10-01,2020-10-01,104,106,0,0,0
2020-10-01,83,480,2020-10-01,2021-01-01,105,106,0,0,0
2020-10-01,91,407,2020-10-01,2020-10-01,102,104,0,0,0
2020-10-01,91,454,2020-10-01,2021-01-01,103,104,0,0,0
2020-10-01,110,501,2020-10-01,2021-01-01,102,108,0,0,0
2020-10-01,118,467,2020-10-01,2021-01-01,102,103,0,0,0
2020-10-01,10,37,2020-10-01,2020-10-01,102,108,0,0,0
2020-10-01,10,46,2020-10-01,2020-10-01,103,108,0,0,0
2020-10-01,10,111,2020-10-01,2020-10-01,104,108,0,0,0
2020-10-01,10,237,2020-10-01,2020-10-01,105,108,0,0,0
2020-10-01,10,297,2020-10-01,2020-10-01,106,108,0,0,0
2020-10-01,10,398,2020-10-01,2020-10-01,107,108,0,0,0
2020-10-01,10,575,2020-10-01,2021-01-01,108,108,0,1,0
2020-10-01,18,87,2020-10-01,2020-10-01,102,108,0,0,0
2020-10-01,18,104,2020-10-01,2020-10-01,103,108,0,0,0
2020-10-01,18,129,2020-10-01,2020-10-01,104,108,0,0,0
2020-10-01,18,248,2020-10-01,2020-10-01,105,108,0,0,0
2020-10-01,18,264,2020-10-01,2020-10-01,106,108,0,0,0
2020-10-01,18,412,2020-10-01,2020-10-01,107,108,0,0,0
2020-10-01,18,518,2020-10-01,2021-01-01,108,108,0,1,0
2020-10-01,29,146,2020-10-01,2020-10-01,102,103,0,0,0
2020-10-01,29,170,2020-10-01,2020-10-01,103,103,0,0,1
2020-10-01,49,150,2020-10-01,2020-10-01,102,105,0,0,0
2020-10-01,49,183,2020-10-01,2020-10-01,103,105,0,0,0
2020-10-01,49,202,2020-10-01,2020-10-01,104,105,0,0,0
2020-10-01,49,294,2020-10-01,2020-10-01,105,105,0,0,1
2020-10-01,93,382,2020-10-01,2020-10-01,102,106,0,0,0
