month_date,leads_id,funnel_id,start_month,stage_month,stage_id,last_stage_id,first_stage_flag,final_stage_flag,stage_drop,deal_won
2020-12-01,1,16,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,1,36,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,1,61,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,1,16,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,1,36,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,1,61,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,1,16,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,1,36,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,1,61,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,1,16,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,1,36,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,1,61,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,2,25,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,2,29,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,2,60,2020-12-01,2020-12-01,104,108,0,0,0,0
2020-12-01,2,25,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,2,29,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,2,60,2020-12-01,2020-12-01,104,108,0,0,0,0
2020-12-01,2,25,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,2,29,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,2,60,2020-12-01,2020-12-01,104,108,0,0,0,0
2020-12-01,2,25,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,2,29,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,2,60,2020-12-01,2020-12-01,104,108,0,0,0,0
2020-12-01,3,27,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,3,30,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,3,53,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,3,27,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,3,30,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,3,53,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,3,27,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,3,30,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,3,53,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,3,27,2020-11-01,2020-12-01,102,104,0,0,0,0
2020-12-01,3,30,2020-12-01,2020-12-01,103,104,0,0,0,0
2020-12-01,3,53,2020-12-01,2020-12-01,104,104,0,0,1,0
2020-12-01,4,14,2020-11-01,2020-12-01,102,103,0,0,0,0
2020-12-01,4,23,2020-12-01,2020-12-01,103,103,0,0,1,0
2020-12-01,4,14,2020-11-01,2020-12-01,102,103,0,0,0,0
2020-12-01,4,23,2020-12-01,2020-12-01,103,103,0,0,1,0
2020-12-01,4,14,2020-11-01,2020-12-01,102,103,0,0,0,0
2020-12-01,4,23,2020-12-01,2020-12-01,103,103,0,0,1,0
2020-12-01,4,14,2020-11-01,2020-12-01,102,103,0,0,0,0
2020-12-01,4,23,2020-12-01,2020-12-01,103,103,0,0,1,0
2020-12-01,5,35,2020-11-01,2020-12-01,102,106,0,0,0,0
2020-12-01,5,69,2020-12-01,2020-12-01,103,106,0,0,0,0
2020-12-01,5,35,2020-11-01,2020-12-01,102,106,0,0,0,0
2020-12-01,5,69,2020-12-01,2020-12-01,103,106,0,0,0,0
2020-12-01,5,35,2020-11-01,2020-12-01,102,106,0,0,0,0
2020-12-01,5,69,2020-12-01,2020-12-01,103,106,0,0,0,0
2020-12-01,5,35,2020-11-01,2020-12-01,102,106,0,0,0,0
2020-12-01,5,69,2020-12-01,2020-12-01,103,106,0,0,0,0
2020-12-01,6,34,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,6,67,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,6,34,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,6,67,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,6,34,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,6,67,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,6,34,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,6,67,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,7,28,2020-11-01,2020-12-01,102,105,0,0,0,0
2020-12-01,7,63,2020-12-01,2020-12-01,103,105,0,0,0,0
2020-12-01,7,28,2020-11-01,2020-12-01,102,105,0,0,0,0
2020-12-01,7,63,2020-12-01,2020-12-01,103,105,0,0,0,0
2020-12-01,7,28,2020-11-01,2020-12-01,102,105,0,0,0,0
2020-12-01,7,63,2020-12-01,2020-12-01,103,105,0,0,0,0
2020-12-01,7,28,2020-11-01,2020-12-01,102,105,0,0,0,0
2020-12-01,7,63,2020-12-01,2020-12-01,103,105,0,0,0,0
2020-12-01,8,42,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,8,52,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,8,42,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,8,52,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,8,42,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,8,52,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,8,42,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,8,52,2020-12-01,2020-12-01,103,108,0,0,0,0
2020-12-01,9,68,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,9,68,2020-11-01,2020-12-01,102,108,0,0,0,0
2020-12-01,9,68,2020-11-01,2020-12-01,102,108,0,0,0,0
