funnel_id,leads_id,stage,TimeStamp,reason,stage_id
1,1,leads_registered,2020-11-25 13:49:44 UTC,,101
2,2,leads_registered,2020-11-26 09:04:53 UTC,,101
3,3,leads_registered,2020-11-26 09:26:32 UTC,,101
4,4,leads_registered,2020-11-26 13:56:31 UTC,,101
5,5,leads_registered,2020-11-27 11:07:38 UTC,,101
6,6,leads_registered,2020-11-30 09:16:32 UTC,,101
7,7,leads_registered,2020-11-30 12:14:43 UTC,,101
8,8,leads_registered,2020-11-30 16:11:03 UTC,,101
9,9,leads_registered,2020-11-30 16:34:52 UTC,,101
10,10,leads_registered,2020-11-30 17:53:22 UTC,,101
11,11,leads_registered,2020-12-01 09:19:58 UTC,,101
12,12,leads_registered,2020-12-01 10:14:03 UTC,,101
13,13,leads_registered,2020-12-01 11:25:09 UTC,,101
15,14,leads_registered,2020-12-02 09:18:00 UTC,,101
17,15,leads_registered,2020-12-02 10:31:02 UTC,,101
18,16,leads_registered,2020-12-02 12:58:24 UTC,,101
19,17,leads_registered,2020-12-02 14:27:54 UTC,,101
20,18,leads_registered,2020-12-02 14:47:29 UTC,,101
21,19,leads_registered,2020-12-02 15:09:05 UTC,,101
22,20,leads_registered,2020-12-02 15:13:48 UTC,,101
24,21,leads_registered,2020-12-03 10:20:02 UTC,,101
26,22,leads_registered,2020-12-03 13:31:39 UTC,,101
31,23,leads_registered,2020-12-04 10:32:42 UTC,,101
33,24,leads_registered,2020-12-04 11:01:40 UTC,,101
38,25,leads_registered,2020-12-04 13:50:11 UTC,,101
39,26,leads_registered,2020-12-04 14:59:50 UTC,,101
40,27,leads_registered,2020-12-04 15:15:55 UTC,,101
41,28,leads_registered,2020-12-04 15:48:54 UTC,,101
43,29,leads_registered,2020-12-04 16:12:38 UTC,,101
44,30,leads_registered,2020-12-04 16:36:34 UTC,,101
45,31,leads_registered,2020-12-04 17:07:02 UTC,,101
47,32,leads_registered,2020-12-07 09:18:17 UTC,,101
49,33,leads_registered,2020-12-07 09:37:27 UTC,,101
50,34,leads_registered,2020-12-07 09:46:33 UTC,,101
51,35,leads_registered,2020-12-07 09:52:53 UTC,,101
55,36,leads_registered,2020-12-07 11:19:48 UTC,,101
58,37,leads_registered,2020-12-07 12:25:04 UTC,,101
62,38,leads_registered,2020-12-07 14:24:19 UTC,,101
65,39,leads_registered,2020-12-07 16:32:06 UTC,,101
66,40,leads_registered,2020-12-07 16:39:49 UTC,,101
72,41,leads_registered,2020-12-08 09:56:50 UTC,,101
74,42,leads_registered,2020-12-08 10:53:09 UTC,,101
77,43,leads_registered,2020-12-08 12:08:28 UTC,,101
81,44,leads_registered,2020-12-08 16:06:14 UTC,,101
82,45,leads_registered,2020-12-08 16:08:54 UTC,,101
83,46,leads_registered,2020-12-08 16:52:10 UTC,,101
85,47,leads_registered,2020-12-08 17:32:36 UTC,,101
89,48,leads_registered,2020-12-09 10:23:17 UTC,,101
91,49,leads_registered,2020-12-09 11:25:51 UTC,,101
95,50,leads_registered,2020-12-09 12:46:41 UTC,,101
98,51,leads_registered,2020-12-09 13:24:49 UTC,,101
106,52,leads_registered,2020-12-10 10:48:44 UTC,,101
110,53,leads_registered,2020-12-10 11:56:01 UTC,,101
112,54,leads_registered,2020-12-10 14:54:11 UTC,,101
113,55,leads_registered,2020-12-10 16:21:35 UTC,,101
