leads_id,ga_id,Page_Name,Page_timestamp
1,1,/home,2020-11-25 13:47:09 UTC
7,24,/home,2020-11-30 12:12:30 UTC
8,27,/home,2020-11-30 16:08:34 UTC
13,47,/home,2020-12-01 11:22:49 UTC
16,53,/home,2020-12-02 12:56:54 UTC
17,55,/home,2020-12-02 14:25:53 UTC
19,58,/home,2020-12-02 15:06:32 UTC
22,71,/home,2020-12-03 13:29:55 UTC
25,80,/home,2020-12-04 13:48:22 UTC
27,88,/home,2020-12-04 15:14:25 UTC
29,94,/home,2020-12-04 16:09:29 UTC
35,120,/home,2020-12-07 09:50:03 UTC
36,125,/home,2020-12-07 11:18:04 UTC
54,186,/home,2020-12-10 14:52:03 UTC
57,198,/home,2020-12-11 09:08:00 UTC
60,210,/home,2020-12-11 10:49:55 UTC
68,233,/home,2020-12-14 15:56:34 UTC
69,237,/home,2020-12-15 12:03:35 UTC
72,247,/home,2020-12-16 15:17:44 UTC
72,249,/home,2020-12-16 15:18:19 UTC
74,254,/home,2020-12-17 14:50:35 UTC
75,260,/home,2020-12-17 15:08:06 UTC
78,267,/home,2020-12-18 16:16:06 UTC
80,271,/home,2020-12-21 10:28:45 UTC
81,273,/home,2020-12-21 12:04:54 UTC
87,291,/home,2020-12-23 11:58:44 UTC
89,299,/home,2020-12-23 15:17:39 UTC
90,303,/home,2020-12-23 15:42:18 UTC
101,330,/home,2020-12-28 15:39:55 UTC
102,336,/home,2020-12-29 10:45:37 UTC
105,352,/home,2020-12-29 15:18:09 UTC
106,356,/home,2020-12-29 16:02:33 UTC
108,362,/home,2020-12-29 17:23:19 UTC
116,396,/home,2020-12-30 15:28:18 UTC
117,401,/home,2020-12-31 10:40:25 UTC
118,405,/home,2020-12-31 11:00:00 UTC
121,413,/home,2020-12-31 17:32:17 UTC
122,418,/home,2021-01-01 09:23:43 UTC
127,436,/home,2021-01-01 12:57:13 UTC
139,481,/home,2021-01-04 14:45:58 UTC
142,491,/home,2021-01-04 15:38:00 UTC
148,512,/home,2021-01-05 16:35:23 UTC
151,520,/home,2021-01-05 17:32:43 UTC
155,535,/home,2021-01-06 10:59:52 UTC
158,550,/home,2021-01-06 13:27:34 UTC
159,553,/home,2021-01-06 13:56:10 UTC
164,572,/home,2021-01-07 10:37:05 UTC
165,575,/home,2021-01-07 10:43:39 UTC
168,585,/home,2021-01-07 14:30:32 UTC
170,589,/home,2021-01-07 17:08:18 UTC
172,596,/home,2021-01-08 09:07:43 UTC
174,604,/home,2021-01-08 11:26:57 UTC
176,610,/home,2021-01-08 13:18:28 UTC
178,618,/home,2021-01-08 16:28:12 UTC
181,628,/home,2021-01-12 11:05:42 UTC
182,631,/home,2021-01-12 14:53:14 UTC
184,638,/home,2021-01-13 15:56:54 UTC
188,649,/home,2021-01-14 14:18:59 UTC
189,652,/home,2021-01-15 09:30:43 UTC
192,661,/home,2021-01-18 10:27:57 UTC
196,679,/home,2021-01-20 12:39:20 UTC
206,716,/home,2021-01-25 17:10:31 UTC
207,719,/home,2021-01-25 17:25:06 UTC
221,769,/home,2021-01-29 09:16:23 UTC
223,774,/home,2021-01-29 10:38:15 UTC
224,778,/home,2021-01-29 12:51:46 UTC
232,802,/home,2021-02-01 11:47:59 UTC
234,809,/home,2021-02-01 16:59:09 UTC
235,817,/home,2021-02-01 17:49:16 UTC
237,823,/home,2021-02-02 10:38:52 UTC
238,825,/home,2021-02-02 13:49:54 UTC
245,848,/home,2021-02-03 16:15:32 UTC
249,863,/home,2021-02-04 09:23:47 UTC
251,869,/home,2021-02-04 12:45:50 UTC
260,898,/home,2021-02-05 16:58:56 UTC
262,903,/home,2021-02-08 14:23:17 UTC
266,922,/home,2021-02-09 15:11:03 UTC
267,928,/home,2021-02-10 15:36:27 UTC
272,943,/home,2021-02-15 17:20:40 UTC
276,953,/home,2021-02-17 12:49:21 UTC
277,957,/home,2021-02-18 11:19:48 UTC
295,1010,/home,2021-02-25 10:14:00 UTC
296,1017,/home,2021-02-25 14:21:16 UTC
299,1027,/home,2021-02-26 09:15:11 UTC
301,1034,/home,2021-02-26 09:55:53 UTC
